label	MedL	K_str	K_idx	RCor_score	RCor_text_fragment	KImp_score	KImp_text_fragment	keywords	MedL_id	bk_location
0	非小细胞肺癌表皮生长因子受体突变的监测及分子靶向治疗效果分析.目的 探讨非小细胞肺癌(non-small-cell carcinoma,NSCLC)表皮生长因子受体突变的监测及分子靶向治疗.方法 选取北部战区总医院2015年1月至2016年1月收治的70例NSCLC患者,根据基因测序结果分为突变型组与野生型组,每组35例.给予两组患者吉非替尼干预治疗4周,随访24个月,比较分析两组治疗效果.结果 突变型组总有效率及疾病控制率均显著高于野生型组(P<0.05);突变型组总存活期、肿瘤无进展存活期均长于野生型组,且癌症患者生命质量核心量表评分高于野生型组(P<0.05);突变型组中Ⅲ期患者表皮生长因子受体基因突变人数明显多于Ⅱ、Ⅳ期,差异有显著性(P<0.05).结论 应加强NSCLCⅢ期患者表皮生长因子基因突变检测,及时给予患者吉非替尼治疗,从而提升治疗效果,延长生存期.	非小细胞肺癌,辅助治疗,分子靶向治疗	6906,9899,5351	3	非小细胞肺癌表皮生长因子受体突变的监测及分子靶向治疗效果分析	3	非小细胞肺癌表皮生长因子受体突变的监测及分子靶向治疗效果分析.目的 探讨非小细胞肺癌(non-small-cell carcinoma,NSCLC)表皮生长因子受体突变的监测及分子靶向治疗.非小细胞肺癌%表皮生长因子受体%分子靶向治疗.	非小细胞肺癌%表皮生长因子受体%分子靶向治疗	50104295	17335
0	高压氧联合地塞米松治疗一氧化碳中毒迟发性脑病临床疗效观察.目的:探讨高压氧联合地塞米松治疗一氧化碳中毒迟发性脑病的效果.方法:收治一氧化碳中毒迟发性脑病患者30例,随机分为两组,各15例,A组为对照组,给予营养神经、改善循环治疗的同时进行间歇足疗程高压氧治疗,B组为观察组,在A组的基础上加用地塞米松.结果:分别在治疗的1个疗程、2个疗程、3个疗程后,B组MMSE评分明显高于A组,差异有统计学意义(P<0.05);B组在显效率和总有效率方面明显优于A组,差异有统计学意义(P<0.05).结论:在综合治疗和高压氧治疗的基础上联合地塞米松治疗一氧化碳中毒迟发性脑病具有更好的临床治疗效果.	一氧化碳中毒,治疗方案,地塞米松	4111,9850,3052	3	高压氧联合地塞米松治疗一氧化碳中毒迟发性脑病临床疗效观察	3	高压氧联合地塞米松治疗一氧化碳中毒迟发性脑病临床疗效观察.目的:探讨高压氧联合地塞米松治疗一氧化碳中毒迟发性脑病的效果.高压氧%地塞米松%急性一氧化碳中毒迟发性脑病.	高压氧%地塞米松%急性一氧化碳中毒迟发性脑病	49618140	29627
0	仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效分析.目的:探讨仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效.方法:选取2016年1月至2018年1月广西北海市中医医院收治的老年股骨颈骨折合并骨质疏松患者82例,按随机数字表法分为对照组和观察组,每组41例.对照组采取全髋关节置换术,观察组在对照组治疗基础上于术后2d口服仙灵骨葆胶囊治疗,连续治疗6个月.比较两组股骨部骨密度、髋关节Harris评分、步行能力评分及下肢体运动功能(FMMS)评分.结果:术后6个月,观察组髋关节Harris评分、FMMS评分及股骨颈、大转子、Wards三角骨密度明显高于对照组,步行能力评分明显低于对照组,差异均有统计学意义(均P＜0.01).结论:仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效显著,可明显提高患者的步行能力和骨密度,值得临床借鉴.	仙灵骨葆胶囊,适应症,骨质疏松	2953,9871,5089	3	仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效分析	3	仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效分析.目的:探讨仙灵骨葆胶囊联合髋关节置换术治疗老年股骨颈骨折合并骨质疏松的疗效.仙灵骨葆胶囊%髋关节置换术%骨质疏松%老年股骨颈骨折.	仙灵骨葆胶囊%髋关节置换术%骨质疏松%老年股骨颈骨折	47928543	25351
0	抗肝纤维化治疗对肝硬化食管胃静脉曲张出血的一级预防作用.目的:探讨抗肝纤维化治疗对肝硬化食管胃静脉曲张破裂出血(EVB)的一级预防作用.方法:收集首都医科大学附属北京地坛医院2008年8月至2017年8月住院诊断为肝硬化食管胃静脉曲张患者999例,通过COX回归分析影响EVB的独立影响因素;根据患者应用抗纤维化中药治疗是否≥30 d分为中药组和对照组,按照倾向性评分的方法对两组患者进行1:1匹配,中药组和对照组各441例,采用Kalplan-Merier法比较两组患者累积出血率.结论:抗肝纤维化治疗可以降低肝硬化EVB患者1年内出血风险,具有一级预防作用;治疗的优势人群为酒精性肝硬化和Child-Pugh评分为C级的患者.	肝纤维化,临床症状及体征,出血	5544,9860,925	3	结论:抗肝纤维化治疗可以降低肝硬化EVB患者1年内出血风险,具有一级预防作用	3	抗肝纤维化治疗对肝硬化食管胃静脉曲张出血的一级预防作用.目的:探讨抗肝纤维化治疗对肝硬化食管胃静脉曲张破裂出血(EVB)的一级预防作用.肝硬化%食管胃静脉曲张出血%肝纤维化%一级预防.	肝硬化%食管胃静脉曲张出血%肝纤维化%一级预防	49889629	27462
0	氨氯地平阿托伐他汀钙片在治疗高血压合并冠心中的临床效果及药理作用观察.目的 观察氨氯地平阿托伐他汀钙片应用在高血压合并冠心病治疗中的临床效果及药理作用.方法 选取2017年4月至2018年4月到本院治疗的高血压合并冠心病患者94例.采取双盲法进行分组,对照组(n=47)实施常规治疗办法,实验组(n=47)在对照组基础上使用氨氯地平阿托伐他汀钙片治疗,观察对比两组临床治疗效果及血压、血脂水平.结果 实验组治疗总有效率为93.62％,明显高于对照组的总有效率76.6％,组间差异有统计学意义(P<0.05);经治疗后,实验组患者血压、血脂指标改善情况显著比对照组更优(P<0.05).结论 高血压合并冠心病患者给予应用氨氯地平阿托伐他汀钙片治疗后,可明显提高治疗有效率,能够获得较为理想的治疗效果,且患者血压、血脂水平能够得到显著改善.	氨氯地平阿托伐他汀钙片,适应症,高血压	6490,9871,9807	3	氨氯地平阿托伐他汀钙片在治疗高血压合并冠心中的临床效果及药理作用观察	3	氨氯地平阿托伐他汀钙片在治疗高血压合并冠心中的临床效果及药理作用观察.目的 观察氨氯地平阿托伐他汀钙片应用在高血压合并冠心病治疗中的临床效果及药理作用.氨氯地平阿托伐他汀钙片%高血压合并冠心病%临床效果%药理作用.	氨氯地平阿托伐他汀钙片%高血压合并冠心病%临床效果%药理作用	48194791	27896
0	麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎的临床效果.目的:观察麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎的临床效果.方法:选取166例小儿支气管肺炎患儿作为研究对象,采用随机数字表法将其分为对照组和观察组各83例,对照组采用头孢曲松钠治疗,观察组在对照组基础上联合麻杏石甘汤治疗,比较治疗前后两组生化指标水平及临床疗效、病症与体征恢复时间、不良反应发生情况..结果两组不良反应发生率比较,差异无统计学意义(P>0.05)结论:麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎患儿的临床效果优于单纯头孢曲松钠治疗效果.	支气管肺炎,药物治疗,头孢曲松	9277,9864,9597	3	麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎的临床效果	3	麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎的临床效果.目的:观察麻杏石甘汤联合头孢曲松钠治疗小儿支气管肺炎的临床效果.麻杏石甘汤%头孢曲松钠%小儿支气管肺炎.	麻杏石甘汤%头孢曲松钠%小儿支气管肺炎	49071609	21492
0	CT联合MRI检查在脑梗塞诊断中的应用价值 及检出率分析.目的:分析CT检查和MRI检查在脑梗塞诊断中的应用价值及检出率.方法:给予对照组患者进行CT检查,研究组患者进行CT和MRI的联合检查,观察2组患者的检出率.结论:2种检查方法的联合应用可以显著提高脑梗塞患者的检出率,值得临床上的广泛推广.	脑梗,检查,CT检查	28,9882,6930	3	目的:分析CT检查和MRI检查在脑梗塞诊断中的应用价值及检出率	3	CT联合MRI检查在脑梗塞诊断中的应用价值 及检出率分析.目的:分析CT检查和MRI检查在脑梗塞诊断中的应用价值及检出率.CT检查%MRI检查%联合%脑梗塞诊断%应用价值%检出率.	CT检查%MRI检查%联合%脑梗塞诊断%应用价值%检出率	47829808	1465
0	异烟肼、 利福平不同剂型对肺结核病患者的临床疗效.目的 比较不同剂型异烟肼、利福平治疗肺结核的有效性及安全性,指导临床合理用药.方法 对2016年5月至2017年6月昆明市第三人民医院住院的128例初治肺结核患者随机分为注射异烟肼、利福平组和口服异烟肼、利福平组,其中注射组65例,口服组63例,治疗方案统一采用规范2HREZ/4HR.观察不同剂型在肺结核患者治疗中临床疗效及副反应有无差异性.结论 注射组异烟肼、利福平治疗肺结核疗效高于口服组,安全性相似.	结核病,治疗方案,利福平	3415,9850,6080	3	异烟肼、 利福平不同剂型对肺结核病患者的临床疗效	3	异烟肼、 利福平不同剂型对肺结核病患者的临床疗效.目的 比较不同剂型异烟肼、利福平治疗肺结核的有效性及安全性,指导临床合理用药.异烟肼%利福平%注射剂%口服剂%临床疗效.	异烟肼%利福平%注射剂%口服剂%临床疗效	49435918	23935
0	食管癌术后肺部感染与吻合口瘘相关性分析.目的:分析食管癌术后出现肺部感染与吻合口瘘相关性,做到早诊断早治疗.方法:浙江大学附属邵逸夫医院胸外科2015年1月—2018年6月期间292例食管癌患者手术后在院期间出现26例肺部感染及16例吻合口瘘,其中9例吻合口瘘诊断前发生肺部感染症状.结果:食管癌术后出现肺部感染与吻合口瘘具有相关性,具有统计学意义(P<0.01).结论:食管癌术后肺部感染与吻合口瘘具有相关性.	食管癌,临床症状及体征,感染	2657,9860,2019	3	食管癌术后肺部感染与吻合口瘘相关性分析	3	食管癌术后肺部感染与吻合口瘘相关性分析.目的:分析食管癌术后出现肺部感染与吻合口瘘相关性,做到早诊断早治疗.食管癌%外科手术%吻合口瘘%肺部感染%诊断.	食管癌%外科手术%吻合口瘘%肺部感染%诊断	49338614	27527
0	凉血地黄汤联合生肌玉红膏治疗肛裂效果分析.目的:分析凉血地黄汤联合生肌玉红膏治疗血热肠燥型肛裂效果和对血的热肠燥型肛裂患者疼痛积分的影响.方法:选取我院2016年4月25日-2018年4月25日的94例血热肠燥型肛裂血热肠燥型肛裂患者,将其依据随机数字抽取法分组原则,分为对照组(高锰酸钾治疗)、观察组(凉血地黄汤联合生肌玉红膏治疗),各47例,对比两组用药后的疼痛情况和便血程度积分.结果:在治疗后,两组患者的疼痛、便血均呈下降趋势,但观察组的情况均优于对照组,差异显著有统计学意义(P<0.05);且观察组患者的临床有效率为97.87％,高于对照组,差异具有统计学意义(P<0.05).结论:对于血热肠燥型肛裂血热肠燥型肛裂患者采用凉血地黄汤联合生肌玉红膏进行治疗,可有效降低疼痛积分,改善临床症状.	地黄,功能主治,凉血	9709,9867,5670	3	凉血地黄汤联合生肌玉红膏治疗肛裂效果分析	3	凉血地黄汤联合生肌玉红膏治疗肛裂效果分析.目的:分析凉血地黄汤联合生肌玉红膏治疗血热肠燥型肛裂效果和对血的热肠燥型肛裂患者疼痛积分的影响.血热肠燥%肛裂%凉血地黄汤%生肌玉红膏%疼痛积分.	血热肠燥%肛裂%凉血地黄汤%生肌玉红膏%疼痛积分	49047503	20813
